date,collection,term_count,term_ratio,doc_count,doc_ratio,sample_size
20230102,far-left,0,0,0,0,0
20230102,center-left,0,0,0,0,0
20230102,center,0,0,0,0,0
20230102,center-right,0,0,0,0,0
20230102,far-right,0,0,0,0,0
20230109,far-left,0,0,0,0,0
20230109,center-left,0,0,0,0,0
20230109,center,0,0,0,0,0
20230109,center-right,0,0,0,0,0
20230109,far-right,0,0,0,0,0
20230116,far-left,0,0,0,0,0
20230116,center-left,0,0,0,0,0
20230116,center,0,0,0,0,0
20230116,center-right,0,0,0,0,0
20230116,far-right,0,0,0,0,0
20230123,far-left,0,0,0,0,0
20230123,center-left,0,0,0,0,0
20230123,center,0,0,0,0,0
20230123,center-right,0,0,0,0,0
20230123,far-right,0,0,0,0,0
20230130,far-left,0,0,0,0,0
20230130,center-left,0,0,0,0,0
20230130,center,0,0,0,0,0
20230130,center-right,0,0,0,0,0
20230130,far-right,0,0,0,0,0
20230206,far-left,0,0,0,0,0
20230206,center-left,0,0,0,0,0
20230206,center,0,0,0,0,0
20230206,center-right,0,0,0,0,0
20230206,far-right,0,0,0,0,0
20230213,far-left,0,0,0,0,0
20230213,center-left,0,0,0,0,0
20230213,center,0,0,0,0,0
20230213,center-right,0,0,0,0,0
20230213,far-right,0,0,0,0,0
20230220,far-left,0,0,0,0,0
20230220,center-left,0,0,0,0,0
20230220,center,0,0,0,0,0
20230220,center-right,0,0,0,0,0
20230220,far-right,0,0,0,0,0
20230227,far-left,0,0,0,0,0
20230227,center-left,0,0,0,0,0
20230227,center,0,0,0,0,0
20230227,center-right,0,0,0,0,0
20230227,far-right,0,0,0,0,0
20230306,far-left,0,0,0,0,0
20230306,center-left,0,0,0,0,0
20230306,center,0,0,0,0,0
20230306,center-right,0,0,0,0,0
20230306,far-right,0,0,0,0,0
20230313,far-left,0,0,0,0,0
20230313,center-left,0,0,0,0,0
20230313,center,0,0,0,0,0
20230313,center-right,0,0,0,0,0
20230313,far-right,0,0,0,0,0
20230320,far-left,0,0,0,0,0
20230320,center-left,0,0,0,0,0
20230320,center,0,0,0,0,0
20230320,center-right,0,0,0,0,0
20230320,far-right,0,0,0,0,0
20230327,far-left,0,0,0,0,0
20230327,center-left,0,0,0,0,0
20230327,center,0,0,0,0,0
20230327,center-right,0,0,0,0,0
20230327,far-right,0,0,0,0,0
20230403,far-left,0,0,0,0,0
20230403,center-left,0,0,0,0,0
20230403,center,0,0,0,0,0
20230403,center-right,0,0,0,0,0
20230403,far-right,0,0,0,0,0
20230410,far-left,0,0,0,0,0
20230410,center-left,0,0,0,0,0
20230410,center,0,0,0,0,0
20230410,center-right,0,0,0,0,0
20230410,far-right,0,0,0,0,0
20230417,far-left,0,0,0,0,0
20230417,center-left,0,0,0,0,0
20230417,center,0,0,0,0,0
20230417,center-right,0,0,0,0,0
20230417,far-right,0,0,0,0,0
20230424,far-left,0,0,0,0,0
